"level4_cod";"scientificName";"SSBS";"Best_guess_binomial";"Reference";"SSS";"Diversity_metric_type";"Study_common_taxon";"Predominant_land_use";"Use_intensity";"Km_to_nearest_edge_of_habitat";"Longitude";"Latitude";"Taxon";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Higher_taxon";"Measurement";"Effort_corrected_measurement";"exist";"note";"status_p";"status.g";"pg"
"BOR-SB";"Camponotus camelinus";"SH1_2001__Floren 1 MK Poring 19";"Camponotus camelinus";"Floren et al. 2001";"SH1_2001__Floren 1 19";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.696080555556;6.04732222222222;"Camponotus camelinus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"camelinus";"Hymenoptera";3;3;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus camelinus";"SH1_2001__Floren 1 MK Sorinsim 32";"Camponotus camelinus";"Floren et al. 2001";"SH1_2001__Floren 1 32";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Cannot decide";NA;116.734569444444;6.31723055555556;"Camponotus camelinus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"camelinus";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus camelinus";"SH1_2001__Floren 1 MK Sorinsim 42";"Camponotus camelinus";"Floren et al. 2001";"SH1_2001__Floren 1 42";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.700925;6.28295277777778;"Camponotus camelinus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"camelinus";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus camelinus";"SH1_2001__Floren 1 MK Sorinsim 47";"Camponotus camelinus";"Floren et al. 2001";"SH1_2001__Floren 1 47";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.700372222222;6.28169166666667;"Camponotus camelinus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"camelinus";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 1";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 1";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698330555556;6.04944722222222;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";2;2;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 13";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 13";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.709244444444;6.06419722222222;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";14;14;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 16";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 16";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.697733333333;6.04910555555556;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";1;1;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 17";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 17";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.697097222222;6.04913055555556;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";1;1;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 18";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 18";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.696552777778;6.04725;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";27;27;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 3";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 3";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698066666667;6.05066111111111;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";2;2;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 4";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 4";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698527777778;6.05074444444444;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";6;6;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 5";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 5";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.695758333333;6.04763888888889;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";1;1;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus forelophilus";"SH1_2001__Floren 1 MK Poring 7";"Camponotus forelophilus";"Floren et al. 2001";"SH1_2001__Floren 1 7";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.697536111111;6.04693333333333;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";4;4;"none";"nameok not in rcol";"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus gigas";"SH1_2001__Floren 1 MK Poring 12";"Camponotus gigas";"Floren et al. 2001";"SH1_2001__Floren 1 12";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.709422222222;6.06375;"Camponotus gigas";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"gigas";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
