"level4_cod";"scientificName";"SSBS";"Best_guess_binomial";"Reference";"SSS";"Diversity_metric_type";"Study_common_taxon";"Predominant_land_use";"Use_intensity";"Km_to_nearest_edge_of_habitat";"Longitude";"Latitude";"Taxon";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Higher_taxon";"Measurement";"Effort_corrected_measurement";"Invasion_status"
"AZO-OO";"Acorigone acoreensis";"KS1_2006__Borges 1 Fragment A 4";"Acorigone acoreensis";"Borges et al. 2006";"KS1_2006__Borges 1 4";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.144;-27.2212523804708;38.764457;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"KS1_2006__Borges 1 Fragment D 21";"Acorigone acoreensis";"Borges et al. 2006";"KS1_2006__Borges 1 21";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.35;-27.3081452193614;38.735288;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"KS1_2006__Borges 1 Fragment D 23";"Acorigone acoreensis";"Borges et al. 2006";"KS1_2006__Borges 1 23";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.55;-27.3120309898106;38.734566;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"KS1_2006__Borges 1 Fragment D 27";"Acorigone acoreensis";"Borges et al. 2006";"KS1_2006__Borges 1 27";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.68;-27.3119245191759;38.73654;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"KS1_2006__Borges 1 Fragment D 31";"Acorigone acoreensis";"Borges et al. 2006";"KS1_2006__Borges 1 31";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.686;-27.3188535463353;38.747452;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";4;4;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"KS1_2006__Borges 1 Fragment E 36";"Acorigone acoreensis";"Borges et al. 2006";"KS1_2006__Borges 1 36";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";0;-27.2017027338428;38.738125;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Flores 29";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 29";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.2168637308877;39.4162422747315;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Flores 30";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 30";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.2135461590533;39.4078752601481;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Flores 34";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 34";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.2098109728605;39.461246085866;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Terceira 103";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 103";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.3119245191797;38.7365401618041;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
